class,title,score,1st_Major_Category,2nd_Major_Category,3nd_Major_Category
SUMMER,RSI (Research Science Institute) at MIT,5,Math/Science,Tech/Engineering,
SUMMER,MIT Women's Technology Program (WTP),5,Math/Science,Tech/Engineering,
SUMMER,MITES (Minority Introduction to Engineering and Sciences),5,Math/Science,Tech/Engineering,
SUMMER,LAUNCH at MIT,5,Business,,
SUMMER,SSP (Summer Science Program),5,Math/Science,Tech/Engineering,
SUMMER,Garcia MRSEC Summer Research Program,5,Tech/Engineering,Math/Science,
SUMMER,SIMONS Summer Research Program,4,Math/Science,Tech/Engineering,
SUMMER,High School Summer Science Research Program(HSSSRP) at Baylor U,4,Math/Science,Tech/Engineering,
SUMMER,CTY Civic  Leadership Institute Program,4,"Social 
Science",Social Science,
SUMMER,CTY Global Issues in the 21th century,4,"Social 
Science",,Math/Science
SUMMER,Brown Leadership Institute,3,"Social 
Science",Social Science,
SUMMER,Brown TheaterBridge,3,Performing Arts,,
SUMMER,Brown Intensive English Program (IEP),3,Humanities,,
SUMMER,Brown Environmental Leadership Lab (BELL),3,Math/Science,Tech/Engineering,
SUMMER,CTD (Northwestern),3,Humanities,"social
sciences",Math/Science
SUMMER,NASA Women in STEM Program,5,Math/Science,Tech/Engineering,
SUMMER,NASA Goddard Space Flight Center Internship,5,Math/Science,Tech/Engineering,
SUMMER,NASA National Space Club Scholars Program,5,Math/Science,Tech/Engineering,
SUMMER,NASA INSPIRE Program,5,Math/Science,Tech/Engineering,
SUMMER,TASP (Telluride Association Summer Program),5,"social
science",humanities,
SUMMER,TASS (Telluride Association Sophomore Seminar),5,"social 
sciences",humanities,
SUMMER,The ROSS Mathematics Program,5,Math/Science,,
SUMMER,PROMYS (Program in Mathematics for Young Scientists),5,Math/Science,,
SUMMER,MathWorks Honors Summer Math Camp (HSMC),4,Math/Science,,
SUMMER,MOSP (Mathematics Olympiad Summer Program),5,Math/Science,,
SUMMER,Governor's School of New Jersey,3,Math/Science,Tech/Engineering,
SUMMER,"HSHSP (Michigan State University  High school Honors Sciences Program)
",4,Math/Science,Tech/Engineering,
SUMMER,The Physics of Atomic Nuclei Program at NSCL (National Superconducting Cyclotron Laboratory),5,Math/Science,Tech/Engineering,
SUMMER,Stanford Institute of Medicine Summer Research,4,Math/Science,Math/Science,
SUMMER,SUMaC (Stanford U Mathematics Camp),5,Math/Science,,
SUMMER,HCSSiM (Hampshire College Summer Studies in Math),5,Math/Science,,
SUMMER,Summer Internship Program in Neurological Science National Institute of Health (NIH),5,Math/Science,,
SUMMER,SIP (Summer Internship Program in Biomedical Research),3,Math/Science,,
SUMMER,Link Summer Science Explorations at Kopernik Observatory,3,Math/Science,,
SUMMER,Barnard College Saturday Science Seminars (S-Cubed),3,Math/Science,,
SUMMER,NYU Tisch School of the Arts High School Program,4,Visual Arts,Performing Arts,Music
SUMMER,NYU Summer at Steinhardt School,3,Visual Arts,,
SUMMER,New Jersey Scholars Program,3,Humanities,Social Science,Social Science
SUMMER,LEAD Business (Leadership Education and Development),3,business,Social Science,
SUMMER,LEAD Engineering (Leadership Education and Development),3,Tech/Engineering,,
SUMMER,LEAD Computer Science (Leadership Education and Development),3,Tech/Engineering,,
SUMMER,Bronfman Youth Fellowship in Israel,3,Humanities,,
SUMMER,Jackson Laboratory Summer Student Program,3,Math/Science,,
SUMMER,Davidson Institute Young Scholars Stars Summer,3,Math/Science,Humanities,
SUMMER,Business Leadership Program,3,business,,
SUMMER,Summer at Walnut Hill,4,Music,Performing Arts,
SUMMER,CMU SAMS (The Summer Academy for Math + Science),3,Math/Science,Tech/Engineering,
SUMMER,Architecture Pre-College,3,Visual Arts,,
SUMMER,Carnegie Mellon Drama Pre-College Program,3,Performing Arts,,
