Essay #,Source,Score,Prompt #1,Prompt #2,Prompt #3,Prompt #4,Prompt #5,Prompt #6,Essay,Showing,Setting,Character
0,Admitsee,3,1,2,3,,5,,"In my life and family, I have always felt in the middle between two warring halves of my identity: my mother and my father. My parents have been divorced for five years and have been at war ever since. I have always been in the middle between two people I love the most who cannot manage to love each other. While I move between the two houses, shuffling back and forth by court order, I never feel at home in either house, with either parent, or in either half of my identity; I can float back and forth but never touch the ground. My mom is Danish and her entire family still lives in Denmark. My dad is Native American and is a Native American history professor. I carry both of my parents' identities: Danish and Native. An entire ocean has always separated the two halves of my identity, but a divorce drove them further away. If my Danish mom and Native dad cannot be together, how can those two aspects of my identity be together in me?In my life constantly moving between houses, it is hard to feel at home; hard to feel at rest. I feel like I'm in a long car ride, looking at the trees become a blur. It's hard to know what to focus on to keep myself from getting motion sick. As I am whipped around and pulled between my parents, I've had to find a horizon to look at: something in the distance that from far enough away seems still. The only thing other than stubbornness that my parents have in common is their devotion to academics. They have always encouraged my education and been able to agree on that. Myschool has become my safe place, the window where I can see my reflection, despite the blurring trees in the background. Although the environment of my school can feel constricting, it is also freeing. At school I can work hard and dream about a future where there is stillness, my horizon.While my parents gave me my two identity halves, I have had to work to keep them together; ensuring they do not split apart like the parents they come from. To me, growing up meant the disillusionment of my parents as heros, and the struggle of not being able to rely on them anymore. To survive in my circumstance, I had to mature into the person that takes care of things. I have had to practically wrestle the pride out of my parents to get them to communicate on every little aspect of my life. I have realized that the beauty of my circumstance is that I must work so hard to keep my halves together and the perseverance and initiative I have learned are invaluable.If I can make my parents compromise, and make peace between my warring halves, not only can I finally exist peacefully as myself, but I can reconcile any situation. I now unapologetically take ownership over every aspect of my life.I hope to find a community where I can be Native on my own terms; a community where I can also be Danish; a community where I won't feel shame in one identity because of the other; a community that can be a home where I don't have to pack up and leave every Tuesday and Thursday.A white classmate recently questioned my authenticity as a Native, and another in the same week told me with envy that I was a 'check-box' for colleges. These racist comments highlight the battle I've been in for a lifetime. My identity and insecurities won't go away, but in my life of reconciling, I have found confidence and peace in myself. Now, those comments are just part of the blur; trees whizzing past me as I continue towards my horizon. I'm in motion, heading forwards.When I first saw Columbia, my Grandma's friend toured us around the campus. My Grandma's friend told me her greatest advice looking at colleges was to read the student newspapers to better gauge the students at the school, and how the school allows students to express themselves. While I immediately loved the beautiful libraries and city campus, something else stuck out to me. Being Native American, I am looking for a school that will have a strong cultural center that I can be a part of. After looking through the Columbia Spectator, I noticed an article about the native presence at Columbia, or rather lack thereof. The article, written by a member of Columbia's cultural center, pointed out that the school should do a better job of recruiting native students from many different tribes, socio economic backgrounds, and regions. The article also mentioned College Horizons, which I would be attending in 2 months at the time. From that article I knew that not only would Columbia have a native community I could join, but the native community there was strong enough to stand up for itself. I would love to go to a school that not only has a native presence, but continues to push itself to be better and expand that presence. I hope that at Columbia I can aid this effort and that I will be pushed to be a better version of myself as well. I also think the annual Powwow seems fun.",,,
1,Admitsee,3.5,1,2,3,,5,6,"High school has been full of immense growth, both academically and emotionally. In classes like English and World History, I engaged in hours of the Socratic method, discussing fictions, primary sources, philosophy, and poetry. While my skills as a writer blossomed into prose that I was proud to call my own, the discussions proved much more difficult for me. Before high school, being a 'good student' consisted of sitting quietly in my chair, listening to the teacher, and dutifully following instructions. As a ninth grader, I suddenly found myself transported to an environment where verbal participation was graded, and the quiet, studious persona I had cultivated was forced to shift into something bolder. At first, I struggled to find and maintain this boldness. I was confident in my own abilities to read literature with a critical eye and make intertextual connections. I could masterfully compose poems and enjoyed lending a listening ear to the continuous storytelling of those around me. But being bold, verbalizing what was going on in my head, this was a separate challenge. During my junior year, finding myself frustrated at my lackluster participation, I decided, like introverts often do, to take a step back and examine why I felt this fear. I had always had a bit of social anxiety growing up, I thought, but doesn't everyone, at least to a certain extent? In an attempt to organize my cluttered brain, I reflected on the times when I had stepped out in courage, and was immediately struck with how rewarding those moments had been. I auditioned and was cast as the lead in the school musical. I signed up for student government and successfully helped lead my school as a Prefect for two years. I was a founding member of a high school. Boldness, courage, and hope. These traits, upon reflection, were not in short supply. Rather, it was the mistrust in my own abilities that hindered my confidence. The confidence I needed to lead, to be a good student and a faithful friend, and to speak boldly when I had something to say. There were just forty-five of us. Forty five timid yet daring freshman and sophomores who took the courageous first step into building culture and tradition. With our large stack of new books in hand and little real idea of what was yet to come, we stepped onto the small campus to start our new adventure. On August 26, 2015 we opened Pacifica Christian High School. The first year was filled with trial and error, leading to many valuable questions about how a school should run. We instituted a student government, and quickly realized how valuable it was to allow input from each member, instead of an authoritarian head. Because the classrooms were still being finished when school began, my Honors Biology class conducted experiments and discussions outside, without desks. In the winter of our first year, we performed the inaugural play, bringing together a diverse group of both athletes and artists who recited their lines with gusto and flair, despite our small audience. We founded sports teams, including indoor and beach volleyball, soccer, basketball, cross country and track, and performed surprisingly well at our various matches and meets. It was a time of excitement and beginnings. We were a small but mighty group, who saw first year challenges as opportunities to pause and contemplate, in order that we might build a school with firm foundations. That first year was a dream. With only forty five kids and seven teachers on campus, everything and everyone was accessible. When faced with a question or concern, I could knock on the Head of School's door and begin a personal dialogue. During lunch, students and teachers sat together and talked about class literature as well as our favorite TV shows. We were treated like adults, and in return, the atmosphere at school was one of mutual respect and ease of conversation. These past years have been full of immense growth, both academically and emotionally. In classes like English and World History, I engaged in the Socratic method to discuss great works of fiction, philosophy, and poetry. While my skills as a writer blossomed into prose I was immensely proud of, discussions proved much more difficult. Before high school, being a 'good student' consisted of sitting quietly in my chair, listening to the teacher, and following instructions dutifully. As a ninth grader, I suddenly found myself in an environment where verbal participation was graded, and the quiet, studious persona I once upheld needed to shift into something more bold. I have struggled with finding and maintaining this boldness. As an introvert, I am confident in my own abilities to read with a critical eye and make intertextual connections. I can write stories and poems and enjoy lending a listening ear to the often dramatic storytelling of those around me. But being bold, verbalizing my inner thoughts, is a separate challenge. During my junior year, still frustrated at my lackluster participation, I decided, as introverts often do, to take a step back and examine my fear. I had always had a bit of social anxiety growing up, I thought, but doesn't everyone, at least to a certain extent? In an attempt to organize my cluttered brain, I reflected on the times when I had stepped out in courage, and was immediately struck with how rewarding those moments had been. I auditioned and was cast as the lead in the musical. I signed up for student government and successfully helped lead my school as a prefect for two years. I was a founding member of a high school. Boldness, courage, and hope. These beautiful traits, upon reflection, have not been in short supply in me. Rather, it is the mistrust in my own abilities that hinders my confidence. The confidence I need to lead, to be a good student and a faithful friend, and to be a founding member of a high school.",,,
2,Admitsee,,,,,,,,,,,
3,Admitsee,3.5,1,2,3,,5,6,"Resilience. A buzzword thrown around by guidance counsellors, self-help gurus, and college applicants alike, many people liken it to a sort of inborn talent found only in the likes of the highly successful. I beg to differ.Growing up in the oil capital of Canada, I was surrounded by an 'economy before environment' mentality, where carbon taxes were unashamedly repealed in favour of fossil fuel development. Road trips through the Rockies meant seeing mountainsides littered with the remains of trees, burnt to ash or cleared for mining. I couldn't help but feel a deep-seated sense of injustice\u2014the planet sustaining our very lives was in a losing battle against corporate interests. As soon as I was old enough\u2014a mere nine years old\u2014I started participating in science fair, finding innovative ways, from eco-friendly road salt alternatives to designing safer pipelines, to preserve the environment. Along with volunteering with environmental groups, I was content that I was doing the most I could. That all changed with the Amazon wildfires. It hit close to home after I'd spent months extensively studying trees to enhance their resilience to wildfires. As I watched the world's most important ecosystem perishing in fire, the powerlessness I felt spurred me into action. Within weeks, I sold my first art print on Etsy, intending to donate the entirety of my profit. The euphoria quickly disappeared, as more weeks passed and only a few orders were trickling in. Everyone around me was telling me to be realistic, let go of such a lofty ambition. My determination began to waver\u2014would this make any more of a difference than a nine-year-old's science project? But I knew, though we may not feel much impact from the choices to neglect the environment, there were billions of unseen people who were paying the price\u2014whether it was losing their homes and livelihoods in Brazil, or even losing their lives to waterborne diseases in Africa. It wasn't about me or my confidence; this was something far bigger, and I couldn't give up when there was still a chance. I had to help.Over the summer, I relentlessly expanded my business, diversifying my social media pages and advertisements to reach more potential customers. I started a website, adding blog entries to raise awareness and real-time updates of the impact my business was making. This prompted a flurry of online support, bringing about collaborations with like-minded clothing companies and influencers\u2014my cause was starting to get through to people. Before long, I was selling four times as many prints, and several of my Etsy listings had climbed to the first page. Though I was sometimes spending six hours a day coordinating it all, it heartened me to know that it'd be making a concrete contribution. As I'm writing this, I've donated over $250 to the Amazon Forest Fund to help combat the wildfires. I've put another portion towards the global water crisis, my efforts providing more than 200 people in rural Kenya, Uganda, and Malawi with safe drinking water. I wanted to help back home too\u2014it was what had stirred my desire to protect the environment all those years ago. With my donated revenue, nearly 40 miles of Canada's coastline are now free of plastic waste. In the end, I found resilience. What started as a formidable challenge ended as one of my greatest gains. It was second only to, after years of aching to make a difference and months of self-doubt, finally changing a bit of the world for the better. Resilience had always felt far beyond my grasp; in my eyes, it was a mysterious force that could push people to achieve the unimaginable. But I see now: resilience is neither a talent nor a skill. It's an inherent trait that emerges when one has found an exploit so compelling, that giving up\u2014should it ever come to mind\u2014isn't an option. Once I'd found a cause that truly resonated with me, it wasn't hard to find the will to succeed, not only in spite of adversity, but because of adversity. So I have faith that my business will go far, to make more impact and change more lives\u2014because I won't stop trying until it does.Inhibit gibberellin biosynthesis? Manipulate soil water potential? 'Could I even make that work?' I asked aloud. I furiously erased, then started pacing again. Some called it creating, others called it innovating, I called it the unscientific method. It was how my science fair projects came to be. At the time, I'd gathered my notes, intending to conceive a solution to the imminent, yet still unsolved issue of wildfires. Lined papers congested with writing were scattered across my desk, with some thrown in the direction of the wastebasket to signify vetoed ideas. The conventional approaches of prescribed burning and fire suppression had long taken their place there, as I had opted to take the road less travelled. This road, so to speak, was to combat fire proactively, rather than continue down the same negligent, reactive path. The idea to focus on wildfire resilience had been born soon thereafter. From there, there were still boundless 'roads' to take, but so long as I had the will, there'd be a way\u2014my cluttered desk would clear eventually to reveal a solution.Science fair quickly became an outlet for my creativity. The 'unscientific' element was what I revelled in\u2014instead of school labs that had to fulfill a curriculum-themed rubric, I could go where my interests took me. My last two projects have both been formulated from scratch, though built on extensive research. In my sophomore year, after thorough research into a zeolite rock called clinoptilolite, I developed a procedure to extract potassium from seawater, harnessing its adsorption-desorption properties to produce an alternative to chemical fertilizer. Last year, I did successfully design and test a method, one that addressed the two most important factors in determining wildfire resilience. I had devised an original method, rooted in the principles of deficit irrigation, that used gradual water stress imposition to stimulate adaptations developing bark thickness and higher moisture content. My creativity has allowed me to encounter these unique and new areas\u2014Yale published a study just last month finding bark thickness to be key to survival in the Amazon wildfire\u2014that still have great potential for innovative ideas and breakthroughs.Growing up in the oil capital of Canada, I was surrounded by an 'economy before environment' mentality, where carbon taxes were unashamedly repealed in favour of fossil fuel development. I knew it wasn't right that the planet sustaining our very lives was in a losing battle against corporate interests. Whenever I went on trips to the Rockies, I would see mountainsides littered with the remains of trees burnt to ash or cleared for mining\u2014I couldn't help but feel a deep-seated sense of injustice. So, I started volunteering with environmental groups and raising local awareness, content that I was doing the most I could. But that all changed with the Amazon wildfires. It hit close to home after I had spent months extensively studying trees to enhance their resilience to wildfires. As I watched one of the world's most important ecosystems perish in fire, the powerlessness I felt spurred me into action. Within weeks, I sold my first art print, intending to donate the entirety of my profit. But after that, sales were slow, and it seemed to be going nowhere. I knew I couldn't give up\u2014the destruction of the environment had reached this point because people had neglected it, given up when there was still a chance to save it. I had to help. Over the summer, I relentlessly expanded my business, diversifying advertisements to reach more potential customers. I gained support for my cause online\u2014even offers to collaborate. Soon, I was selling four times as many prints, and several of my Etsy listings had climbed to the first page. As I'm writing this, I've donated over $250 towards the Amazon Forest Fund to distribute to indigenous communities combating the fires. I've put another portion towards the global water crisis, providing more than 200 people in rural Kenya, Uganda, and Malawi with safe drinking water. Starting my business has taught me that when an exploit is compelling enough, giving up, if it even crosses your mind, is no longer an option. Despite adversity, I never lost faith that my business would succeed\u2014because I knew I'd keep trying until it did.",,,
4,Admitsee,4,1,,,4,,,"When I call my Auntie Balbir 'Machiavellian,' I mean it as a compliment. A slight Punjabi woman, she took care of my siblings and me during our parents' erratic work hours. Her tight bun, sharp eye, and precise, commanding manner quickly inspired in us a respect for household rules and a fear of the time-out corner. Escaping from communal riots in India following the assassination of Prime Minister Indira Gandhi, Auntie B.arrived in America as a refugee. Fortuna placed her in an unfamiliar land with a culture and language distinct from her own, and she battled solitude, grief, and a fear of the unknown. It was her virt\u00f9 that guided her in founding a successful organization to help immigrants find work, which she complemented with her burgeoning nanny agency and massage business. 'Nothing is permanent' she would say in Hindi while smoothing out creases in a batch of freshly washed laundry, 'But your skills stay with you forever.' My siblings and I often listened to her teachings and stories during drives to school and amidst the community service she engaged us in at the nearby Sikh temple. As a playful child who feared chastisement, I followed her tokens of advice but sometimes I secretly wished she would become Maria from The Sound of Music and imagined myself singing 'Do-Re-Mi' on the green, rolling hills of Austria. Growing up I didn't understand the importance of Auntie B.'s unusual combination of strict punishments and inspirational narratives until I studied the political theories and philosophies of Niccol\u00f3 Machiavelli last summer. I centered my focus on Machiavelli's The Prince and his Discourses on Livy, examining his views on the productivity of fear in governing a principality. I analyzed his descriptions of European historical events, including Cesare Borgia's brutal maintenance of Romagna and Oliverotto da Fermo's seizure of the town of Fermo, assessing the ways each ruler used fear to maintain control of the populace. I then created a taxonomy of the various types of fear in Machiavelli's political writings, identifying each according to its utility in moments of political uncertainty and unrest. In addition, I examined the rhetorical techniques Machiavelli himself used when presenting his arguments to his readers. Carrying out this research helped me discern the ways Auntie B. shaped my understanding of the world.Although I joked about Auntie B.'s appreciation of the idea that it is better to be feared than loved, I realized her use of punishments (especially the dreaded time-out corner) not only as a deliberate strategy to maintain order over three mischievous children but also as an informal introduction to politics and power structures. I found in Auntie B.'s stories, too, a reflection of Machiavelli's statement, 'Everything that occurs in the world, in every epoch, has something that corresponds to it in ancient times.' Just as Machiavelli relates historical examples of the Roman Empire to Florence in an effort to bring about the success of the Florentine Republic, I saw how Auntie B. used history to inform our understanding of contemporary times. Her stories about beginning her massage business were meant to teach us about the value of economic self-sufficiency. She intended her tales about helping other immigrants to show us the importance of community strength. Today, I look for correlations between historical and modern political affairs when examining social policies and work to uphold the values of courage, compassion, and foresight that are incorporated in the power of virt\u00f9 that Auntie B. illustrated with her journey and Machiavelli speaks to in his writings. Although Machiavelli's political thought is sometimes seen as overly shrewd and did not become mainstream, for me, he offers an uncommon and subtle way of perceiving the world in which history, fortuna, and virt\u00f9 all play significant roles in shaping one's path, a perspective that we all can apply to our daily lives.Every individual, I learned, is 'Machiavellian' in some form.",,,
5,Admitsee,3.5,1,,3,4,,,"I inhale deeply and blow harder than I thought possible, pushing the tiny ember from its resting place on the candle out into the air. The room erupts around me, and 'Happy Birthday!' cheers echo through the halls. It's time to make a wish. In my mind, that new Limited Edition Deluxe Ben 10 watch will soon be mine. My parents and the aunties and uncles around me attempt to point me in a different direction. 'Wish that you get to go to the temple every day when you're older! Wish that you memorize all your Sanskrit texts before you turn 6! Wish that you can live in India after college!' My ears listen, but my mind tunes them out, as nothing could possibly compare to that toy watch! What I never realized on my third birthday is that those wishes quietly tell the story of how my family hopes my life will play out. In this version of my life, there wasn't much room for change, personal growth, or 'rocking the boat.' A vital aspect of my family's cultural background is their focus on accepting things as they are. Growing up, I was discouraged from questioning others or asking questions that didn't have definitive yes or no answers. If I innocently asked my grandma why she expected me to touch her feet, my dad would grab my hand in a sudden swoop, look me sternly in the eye, and tell me not to disrespect her like that again. At home, if I mentioned that I had tried eggs for breakfast at a friend's house, I'd be looked at like I had just committed a felony for eating what my parents considered meat. If I asked the priest at the temple why he had asked an Indian man and his white wife to leave, I'd be met with a condescending glare and told that I should also leave for asking such questions.In direct contrast, my curiosity was invited and encouraged at school. After an environmental science lesson, I stayed for a few minutes after class to ask my 4th-grade science teacher with wide eyes how it was possible that Niagara Falls doesn't run out of flowing water. Instead of scolding me for asking her a 'dumb question,' she smiled and explained the intricacy of the water cycle. Now, if a teacher mentions that we'll learn about why a certain proof or idea works only in a future class, I'll stay after to ask more or pour through an advanced textbook to try to understand it. While my perspective was widening at school, the receptiveness to raising complex questions at home was diminishing. After earning my driver's license, I registered as an organ donor. My small checkmark on a piece of paper led to an intense clash between my and my parents' moral platform. I wanted to ensure that I positively contributed to society, while my parents believed that organ donation was an unfamiliar and unnecessary cultural taboo. I would often ask for clarity or for reasons that supported their ideologies. Their response would usually entail feeling a deep, visceral sense that traditions must be followed exactly as taught, without objection. Told in one language to keep asking questions and in another to ask only the right ones, I chose exploring questions that don't have answers, rather than accepting answers that don't get questioned. When it comes to the maze of learning, even when I take a wrong turn and encounter roadblocks that are meant to stop me, I've learned to climb over them and keep moving forward. My curiosity strengthens with each hurdle and has expanded into a pure love of learning new things. I've become someone who seeks to understand things at a fundamental level and who finds excitement in taking on big questions that have yet to be solved. I'm no longer afraid to rock the boat.",,,
6,Admitsee,4,,,3,,5,6,"The truth is that fullness of soul can sometimes overflow in utter vapidity of language, for none of us can everexpress the exact measure of his needs or his thoughts or his sorrows; and human speech is like a cracked kettleon which we tap crude rhythms for bears to dance to, while we long to make music that will melt the stars.' -Gustave Flaubert, Madame BovaryExpression is paramount; it is difficult; it is a dealbreaker. In my own search for meaningful articulation, I struggle.And every time I struggle, I question myself and my purpose. The answer is always the same: Maybe I can domore. Maybe being just a little bit better at an aspect of my life will change the purpose of my existence throughthe opportunities it would present to me. Maybe. Or maybe not. Maybe our own crude rhythms drown out thebeginnings of a melody that would, in fact, melt the stars. Perhaps our fullest potential is locked in a vault ofdestiny that will only be unlocked with the passing of time. Whatever the case is, I seldom read a novel withphilosophical savviness that captivates me. Gustave Flaubert's endless pursuit of 'le mot juste' (the right word)when he wrote Madame Bovary was essential to the way I approached life. 'The right word' can easily become'the right thought' and 'the right action'. Still, I knew I was coming up cataclysmically short. Then, collegeapplications entered the picture.The college admissions process has changed me. In terms of introspection, nothing compares to attempting tosqueeze every ounce of your vitality onto an application, aware that the imminent judgement will shape your life.When I began the process of admissions, perfection was essential. 'Le application juste' consumed me and raisednumerous unsettling questions. Will my imperfect high school, a place I love, be a barrier to my admission? Am Igood enough? Will an essay about expressing yourself through an application submitted to that very applicationcome across as distasteful? Luckily, I don't have to answer those questions, but thinking about them was when Ifinally knew: the quintessence of my being couldn't be articulated. In fairness, nobody's can. The process ofcollege admission has transformed me into a person who is more aware of the experiences of other peoplebecause I know how hard it is to aptly describe the value of our isolated histories. We may try, but the crackedkettle of human existence and conveyance is too great a burden. And still, we try. We try because each one of usknows that their individual purpose is noble and meaningful. Once I knew that the soundness of my resolve woulddefine me and that no amount of savoir faire could ever break others out of the prison of misunderstanding, Iunderstood that, in life, the content of my essence is exponentially greater than the content on my resume.Still, good idioms are a dime a dozen. However, meaning is rare and is usually either gone in the blink of an eye ormust be refined by painstaking attention to detail. As I come to this junction in my life and look back on what I havedone, I find myself appeased but not fulfilled. There is no way to adequately express my sorrows or my hopes for the future, but I know that they will melt the stars. That might be just what a meaningful individual experience is:uncertain conviction. The lump in my throat is mollified by my faith in my own resolve. People are engrossed in thepursuit of solving the mystery of expression, but I think the code might be cracked through resolute determinationto try, no matter how many times we fall short. Because our crude rhythms can melt the stars after all, so long aswe long to do so.",,,
7,Admitsee,,,,,,,,,,,
8,Admitsee,,,,,,,,,,,
9,Admitsee,,,,,,,,,,,
