activity_type,title,big_major_category_1,big_major_category_2,big_major_category_3
activity,team hbv,math_sci,math_sci,social_sci
activity,circle of women,humanities,social_sci,social_sci
activity,fine art/art schools and music for society,visual arts,music,
activity,deca (distributive education clubs of america),business,math_sci,
activity,society for american baseball research,math_sci,business,social_sci
activity,unite for sight,math_sci,math_sci,math_sci
activity,students for sensible drug policy,social_sci,social_sci,social_sci
activity,young americans for liberty,social_sci,humanities,social_sci
activity,timmy global health,math_sci,social_sci,math_sci
activity,stand now,social_sci,humanities,social_sci
activity,buildon,social_sci,social_sci,social_sci
activity,readers beyond borders,social_sci,social_sci,social_sci
activity,school tube,social_sci,arts/music/performing_arts,social_sci
activity,best buddies international,social_sci,social_sci,social_sci
activity,young democrats of america,social_sci,humanities,social_sci
activity,national history club,humanities,social_sci,social_sci
activity,the zeitgeist movement (controversial),social_sci,humanities,social_sci
activity,richard's rwanda,social_sci,social_sci,social_sci
activity,journalists for human rights,social_sci,social_sci,social_sci
activity,amnesty international,social_sci,social_sci,humanities
activity,she's the first,social_sci,social_sci,business
activity,national organization for women,social_sci,social_sci,social_sci
activity,active minds,social_sci,humanities,social_sci
activity,the mars society,math_sci,tech_eng,
activity,association for computing machinery,math_sci,tech_eng,
activity,students against destructive decisions,social_sci,social_sci,
activity,business professionals of america,business,social_sci,social_sci
activity,the national beta club,social_sci,social_sci,
activity,mathematical association of america,math,tech_eng,business
activity,international organization on shape memory and superlastic technologies,math_sci,tech_eng,
activity,asm international,math_sci,tech_eng,math_sci
activity,gay-straight aliance,social_sci,social_sci,social_sci
activity,say yes to education,social_sci,social_sci,social_sci
activity,operation snowball,social_sci,social_sci,math_sci
activity,students for the exploration and development of space,math_sci,social_sci,tech_eng
activity,"family, career, community leaders of america",social_sci,social_sci,
activity,food allergy talk,math_sci,math_sci,math_sci
activity,american chemical society,math_sci,social_sci,social_sci
activity,student association for the advancement of women,social_sci,social_sci,
activity,science days,math_sci,social_sci,tech_eng
activity,help darfur now,social_sci,social_sci,
activity,american red cross,math_sci,math_sci,social_sci
activity,music is medicine,music,math_sci,math_sci
activity,coalition to abolish slavery and trafficking,social_sci,social_sci,
activity,inspiring girls now in technology evolution,math_sci,math_sci,tech_eng
activity,american foundation for suicide prevention,social_sci,social_sci,math_sci
activity,healing the children,math_sci,math_sci,math_sci
activity,leukemia & lymphoma society,math_sci,math_sci,math_sci
activity,young audiences,social_sci,music,social_sci
activity,surfrider foundation,math_sci,social_sci,social_sci
activity,friends of the children,social_sci,social_sci,
activity,standup for kids,social_sci,social_sci,
activity,village care international,social_sci,humanities,social_sci
activity,girl's learn international,social_sci,social_sci,
activity,guitars not guns,social_sci,social_sci,music
activity,march of dimes,math_sci,math_sci,math_sci
activity,student peace alliance,social_sci,social_sci,social_sci
activity,operation noah inc.,math_sci,math_sci,math_sci
activity,invisible youth network,social_sci,social_sci,social_sci
activity,youthbuild,visual arts,social_sci,social_sci
activity,space of her own,social_sci,social_sci,arts/music
activity,healthetarians,math_sci,social_sci,
activity,architecture for humanity,tech_eng,math_sci,visual arts
activity,the international rescue committee,social_sci,math_sci,math_sci
activity,color blind,visual arts,social_sci,social_sci
activity,local earth collective,social_sci,math_sci,tech_eng
activity,beyond hunger,social_sci,math_sci,math_sci
activity,end to cyber bullying,social_sci,social_sci,tech_eng
activity,polaris project,social_sci,social_sci,social_sci
activity,not for sale,social_sci,social_sci,social_sci
activity,the chain reaction project,social_sci,social_sci,social_sci
activity,we can end all violence against women,social_sci,social_sci,social_sci
activity,generation to generation,social_sci,humanities,math_sci
activity,velocity bicycle cooperative,social_sci,social_sci,business
activity,greening youth foundation,social_sci,math_sci,math_sci
activity,she counts inc.,business,math_sci,social_sci
activity,global student embassy,social_sci,social_sci,
activity,dream factory,math_sci,social_sci,math_sci
activity,girls inc.,math_sci,social_sci,social_sci
activity,empower and advance,math_sci,tech_eng,social_sci
activity,rewrite beautiful,social_sci,arts/music,social_sci
activity,catalyst project,social_sci,humanities,social_sci
activity,spirit in action,social_sci,humanities,social_sci
activity,melrose bridge,social_sci,math_sci,social_sci
activity,mercy corps,social_sci,social_sci,humanities
activity,hands of a hero foundation,social_sci,social_sci,humanities
activity,wash advocates,social_sci,tech_eng,math_sci
activity,the water project,social_sci,tech_eng,math_sci
activity,african wildlife foundation,social_sci,pre-vet,social_sci
activity,earthaction alerts network,social_sci,social_sci,tech_eng
activity,youtharts,visual arts,social_sci,humanities
activity,applause young artists program,visual arts,humanities,social_sci
activity,artsedge,visual arts,social_sci,social_sci
activity,"animaction, inc",visual arts,social_sci,social_sci
activity,artsonia,visual arts,social_sci,
activity,black youth project,social_sci,,
activity,discover design,visual arts,visual arts,
activity,educational video center,communication,social_sci,
activity,my hero,humanities,social_sci,social_sci
activity,national junior classical league,humanities,social_sci,
activity,"moma for teens, online activities",visual arts,humanities,
activity,reel grrls,visual arts,social_sci,humanities
activity,the art students league of new york,visual arts,humanities,
activity,the arts education partnership,visual arts,social_sci,humanities
activity,design for america,visual arts,social_sci,humanities
activity,engineers without borders,tech_eng,business,math_sci
activity,european nuclear society young generation,tech_eng,math_sci,social_sci
activity,nasa education,tech_eng,math_sci,
activity,national ffa organization,math_sci,tech_eng,business
