period_years_of_activity,coefficient,hrs_per_week,week_strength,weeks_per_year,year_strength,total_activity_hrs,total_dedication_avg,mar_fit_score,mjr_fit_8_10,mjr_fit_6_7,mjr_fit_3_4,mjr_fit_1_2,mjr_fit_0
5,1,15,5,52,5,3300,5,5,4,3,2,,
4,1,14,4.5,51,5,3200,4,4,3,2,,,
3,0.9,13,4.5,50,5,3100,4,3,2,,1,1,
2,0.75,12,4.5,49,5,3000,4,2,1,1,,,
1,0.6,11,4.5,48,5,2900,4,1,0,0,0,0,0
0,0.1,10,4.5,47,5,2800,4,,,,,,
,,9,4,46,5,2700,4,,,,,,
,,8,4,45,5,2600,4,,,,,,
,,7,3,44,5,2500,4,,,,,,
,,6,3,43,5,2400,3,,,,,,
,,5,3,42,5,2300,3,,,,,,
,,4,2,41,5,2200,3,,,,,,
,,3,2,40,5,2100,3,,,,,,
,,2,1,39,5,2000,3,,,,,,
,,1,1,38,5,1900,3,,,,,,
,,0,0,37,5,1800,3,,,,,,
,,,,36,5,1700,3,,,,,,
,,,,35,5,1600,3,,,,,,
,,,,34,5,1500,2,,,,,,
,,,,33,5,1400,2,,,,,,
,,,,32,5,1300,2,,,,,,
,,,,31,5,1200,2,,,,,,
,,,,30,5,1100,1,,,,,,
,,,,29,4.5,1000,1,,,,,,
,,,,28,4.5,900,1,,,,,,
,,,,27,4.5,800,1,,,,,,
,,,,26,4.5,700,1,,,,,,
,,,,25,4.5,600,1,,,,,,
,,,,24,4.5,500,1,,,,,,
,,,,23,4.5,400,1,,,,,,
,,,,22,4.5,300,1,,,,,,
,,,,21,4.5,200,1,,,,,,
,,,,20,4.5,100,1,,,,,,
,,,,19,4,0,0,,,,,,
,,,,18,4,,,,,,,,
,,,,17,4,,,,,,,,
,,,,16,4,,,,,,,,
,,,,15,4,,,,,,,,
,,,,14,4,,,,,,,,
,,,,13,4,,,,,,,,
,,,,12,4,,,,,,,,
,,,,11,2,,,,,,,,
,,,,10,2,,,,,,,,
,,,,9,2,,,,,,,,
,,,,8,2,,,,,,,,
,,,,7,1,,,,,,,,
,,,,6,1,,,,,,,,
,,,,5,1,,,,,,,,
,,,,4,1,,,,,,,,
,,,,3,1,,,,,,,,
,,,,2,1,,,,,,,,
,,,,1,1,,,,,,,,
,,,,0,0,,,,,,,,
