College_Majors_Professional_Topics,1st Big Major Category,2nd Big Major Category
General Engineering,tech_eng,math_sci
Mechanical Engineering,tech_eng,
Industrial Engineering,tech_eng,
Bioengineering,tech_eng,Math_sci
Operations Research,tech_eng,
Materials Science,tech_eng,math_sci
Electrical Engineering,tech_eng,
Computer Science/Engineering,tech_eng,
Civil Engineering,tech_eng,
Aerospace Engineering,tech_eng,
Chemical Engineering,tech_eng,math_sci
Environmental Engineering,tech_eng,math_sci
Agriculture,math_sci,
Physics,math_sci,
Biology,math_sci,
Biophysics,math_sci,
Biochemistry/Molecular Biology,math_sci,
Mathematics,math_sci,
Applied Mathematics,math_sci,
Nutrition/Food Science,math_sci,
Genetics,math_sci,
Astronomy/Astrophysics,math_sci,
Statistics,math_sci,
Chemistry,math_sci,
Neuroscience,math_sci,
Economics,social_sci,
Archeology,Humanities,Social_sci
Sociology,social_sci,
Journalism,Communication,Humanities
Asian Studies,Social Science,Humanities
African Studies,Social Science,
Psychology,Social Science,Math_sci
Women's Studies,Social Science,
Anthropology,Social Science,Humanities
Political Science/Government,Social Science,Humanities
Communication,Communication,
International Relations/Affairs,social_sci,
Public Policy/Affairs,social_sci,
Public Health,social_sci,
Environmental Science/Studies,social_sci,
Film Studies,Humanities,Social_sci
German (Language and Literature),Humanities,
Art History,Humanities,
French (Language and Literature),Humanities,
Spanish,Humanities,
Theology/Religious Studies,Humanities,
Linguistics,Humanities,
History,Humanities,
English Language and Literature,Humanities,
Comparative Literature,Humanities,
Philosophy,Humanities,
Classical Studies/Latin/Greek,Humanities,
"Business (Finance, Accounting, Mgmt.)",Business,
"Business (Marketing, Intl. Biz)",Business,
Mgmt. Info Systems,Business,
Hotel/Hospitality Management,Business,
Nursing,math_sci,
Pre-Med,math_sci,
Pre-Veterinary,math_sci,
Pharmacy/Pre-Pharmacy,math_sci,
Pre-Dental,math_sci,
Education,social_sci,Humanities
Fine Art/Art Schools,visualart,
Dance,performing_arts,
Theater,performing_arts,
Film&Television,visualart,Communication
"Design (Graphic, Industrial, Computer Graphics)",visualart,
Fashion Design,visualart,
Music (Performance),Music,
Music Theory,Music,
Photography,visualart,
Architecture,visualart,
Urban Planning,social_sci,
