TITLE(ENGLISH),strength,Big Major Category #1,Big Major Category #2,Big Major Category #3
RSI (Research Science Institute) at MIT,Superb,Math/Science,,
MIT Women's Technology Program (WTP),Superb,Tech/Engineering,,
MITES (Minority Introduction to Engineering and Sciences),Superb,Math/Science,,
LAUNCH at MIT,Strong,Business,,
SSP (Summer Science Program),Superb,Math/Science,,
Garcia MRSEC Summer Research Program,Strong,Math/Science,,
SIMONS Summer Research Program,Strong,Math/Science,,
High School Summer Science Research Program(HSSSRP) at Baylor U,Good,Math/Science,,
CTY (Center for Talented Youth),Good,Math/Science,,
CTY Civic  Leadership Institute Program,Good,Social Science,,
CTY Global Issues in the 21th century,Good,Social Science,,
Brown Leadership Institute,Mediocre,Social Science,,
Brown TheaterBridge,Good,Performing Arts,,
Brown Intensive English Program (IEP),Poor,Humanities,,
Brown Environmental Leadership Lab (BELL),Mediocre,Tech/Engineering,Math/Science,
Brown Summer Credit Course,Mediocre,Humanities,Math/Science,Tech/Engineering
Brown Pre-College Course,Mediocre,Humanities,Math/Science,Tech/Engineering
Brown Pre-College Online,Mediocre,Humanities,Math/Science,Tech/Engineering
CTD (Northwestern),Good,Math/Science,Tech/Engineering,
"NASA Women in STEM Program
",Strong,Math/Science,Tech/Engineering,
NASA Goddard Space Flight Center Internship,Strong,Math/Science,Tech/Engineering,
NASA National Space Club Scholars Program,Strong,Math/Science,Tech/Engineering,
NASA INSPIRE Program,Strong,Math/Science,Tech/Engineering,
TASP (Telluride Association Summer Program),Superb,Social Science,Humanities,
TASS (Telluride Association Sophomore Seminar),Strong,Social Science,,
The ROSS Mathematics Program,Superb,Math/Science,,
PROMYS (Program in Mathematics for Young Scientists),Superb,Math/Science,,
MathWorks Honors Summer Math Camp (HSMC),Strong,Math/Science,,
MOSP (Mathematics Olympiad Summer Program),Strong,Math/Science,,
Duke TIP Summer Programs Field Studies,Good,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Duke TIP Summer Programs Academy,Mediocre,Tech/Engineering,Math/Science,
Duke TIP Summer Programs Center,Good,Math/Science,,
Duke TIP eStudies,Good,Math/Science,,
Duke TIP eSeminars,Mediocre,Humanities,,
Duke TIP Independent Learning,Poor,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
CBK (Center for Bright Kids) Luminary Program,Mediocre,Social Science,,
ATDP secondary division,Good,Visual Arts,Tech/Engineering,
Governor's School of New Jersey,Strong,Tech/Engineering,Math/Science,
"HSHSP (Michigan State University  High school Honors Sciences Program)
",Strong,Math/Science,,
The Physics of Atomic Nuclei Program at NSCL (National Superconducting Cyclotron Laboratory),Good,Math/Science,,
Stanford Institute of Medicine Summer Research,Strong,Math/Science,,
SUMaC (Stanford U Mathematics Camp),Superb,Math/Science,,
HCSSiM (Hampshire College Summer Studies in Math),Superb,Math/Science,,
Summer Internship Program in Neurological Science National Institute of Health (NIH),Strong,Math/Science,,
SIP (Summer Internship Program in Biomedical Research),Strong,Math/Science,,
Alfred University Summer Programs for High School Students,Mediocre,Math/Science,Tech/Engineering,
Link Summer Science Explorations at Kopernik Observatory ,Mediocre,Math/Science,,
Sarah Lawrence College Summer Programs for High School Students,Poor,Communication,Visual Arts,Performing Arts
Barnard College High-School Pre-College Program,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),Communication,
Barnard College Saturday Science Seminars (S-Cubed),Good,Math/Science,,
NYU Pre-College Summer,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),Tech/Engineering,Humanities
NYU Tisch School of the Arts High School Program,Strong,Communication,Performing Arts,Visual Arts
NYU Summer at Steinhardt School,Good,Music,Performing Arts,
Syracuse U Summer College,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),Math/Science,Humanities
New Jersey Scholars Program,Strong,Social Science,,
LEAD Business (Leadership Education and Development),Strong,Business,,
LEAD Engineering (Leadership Education and Development),Strong,Tech/Engineering,,
LEAD Computer Science (Leadership Education and Development),Strong,Tech/Engineering,,
Bronfman Youth Fellowship in Israel,Strong,Humanities,,
Jackson Laboratory Summer Student Program,Strong,Math/Science,,
Clark Scholars Program,Superb,Math/Science,,
Davidson Think Summer Institute,Good,Math/Science,Humanities,
Davidson Institute Young Scholars Stars Summer,Mediocre,Humanities,,
Oxbridge Acedemic Programs Summer,Poor,Humanities,,
Business Leadership Program,Mediocre,Business,,
Summer at Walnut Hill,Mediocre,Performing Arts,Music,
CMU SAMS (The Summer Academy for Math + Science),Good,Math/Science,Tech/Engineering,
AP/EA Program,Good,Math/Science,Tech/Engineering,
Architecture Pre-College,Mediocre,Visual Arts,,
Carnegie Mellon Drama Pre-College Program,Mediocre,Performing Arts,,
