class,title(english),big major category (important #1) - must input,big major category (important #2) - optional input,big major category (important #3) - optional input
summer,rsi (research science institute) at mit,math_science,tech_engineering,
summer,mit women's technology program (wtp),math_science,tech_engineering,
summer,mites (minority introduction to engineering and sciences),math_science,tech_engineering,
summer,launch at mit,business,,
summer,ssp (summer science program),math_science,tech_engineering,
summer,garcia mrsec summer research program,tech_engineering,math_science,
summer,simons summer research program,math_science,tech_engineering,
summer,high school summer science research program(hsssrp) at baylor u,math_science,tech_engineering,
summer,cty civic leadership institute program,"social 
 science",social science,
summer,cty global issues in the 21th century,"social 
 science",,math_science
summer,brown leadership institute,"social 
 science",social science,
summer,brown theaterbridge,performing arts,,
summer,brown intensive english program (iep),humanities,,
summer,brown environmental leadership lab (bell),math_science,tech_engineering,
summer,ctd (northwestern),humanities,"social
 sciences",math_science
summer,nasa women in stem program,math_science,tech_engineering,
summer,nasa goddard space flight center internship,math_science,tech_engineering,
summer,nasa national space club scholars program,math_science,tech_engineering,
summer,nasa inspire program,math_science,tech_engineering,
summer,tasp (telluride association summer program),"social
 science",humanities,
summer,tass (telluride association sophomore seminar),"social 
 sciences",humanities,
summer,the ross mathematics program,math_science,,
summer,promys (program in mathematics for young scientists),math_science,,
summer,mathworks honors summer math camp (hsmc),math_science,,
summer,mosp (mathematics olympiad summer program),math_science,,
summer,governor's school of new jersey,math_science,tech_engineering,
summer,hshsp (michigan state university high school honors sciences program),math_science,tech_engineering,
summer,the physics of atomic nuclei program at nscl (national superconducting cyclotron laboratory),math_science,tech_engineering,
summer,stanford institute of medicine summer research,math_science,math_science,
summer,sumac (stanford u mathematics camp),math_science,,
summer,hcssim (hampshire college summer studies in math),math_science,,
summer,summer internship program in neurological science national institute of health (nih),math_science,,
summer,sip (summer internship program in biomedical research),math_science,,
summer,link summer science explorations at kopernik observatory,math_science,,
summer,barnard college saturday science seminars (s-cubed),math_science,,
summer,nyu tisch school of the arts high school program,visual arts,performing arts,music
summer,nyu summer at steinhardt school,visual arts,,
summer,new jersey scholars program,humanities,social science,social science
summer,lead business (leadership education and development),business,social science,
summer,lead engineering (leadership education and development),tech_engineering,,
summer,lead computer science (leadership education and development),tech_engineering,,
summer,bronfman youth fellowship in israel,humanities,,
summer,jackson laboratory summer student program,math_science,,
summer,davidson institute young scholars stars summer,math_science,humanities,
summer,business leadership program,business,,
summer,summer at walnut hill,music,performing arts,
summer,cmu sams (the summer academy for math + science),math_science,tech_engineering,
summer,architecture pre-college,visual arts,,
summer,carnegie mellon drama pre-college program,performing arts,,
summer,carnegie mellon art & design pre-college,visual arts,,
summer,carnegie mellon music pre-college,music,,
summer,carnegie mellon national high school game academy,tech_engineering,visual arts,
summer,kenyon college the young writers workshop,humanities,,
summer,upenn saast (summer academy in applied science and technology),tech_engineering,,
summer,u penn vets,math_science,,
summer,u penn wharton sports business academy,business,,
summer,u penn lbw (leadership in business),business,,
summer,u penn-nursing summer institute,math_science,,
summer,u penn m&tsi management & technology summer institute,tech_engineering,business,
summer,u penn art & architecture summer program,visual arts,,
summer,u penn trees teen research and education in environmental science,math_science,tech_engineering,
summer,u penn biomedical research academy,"math_
 science",,
summer,u penn chemistry research academy,"math_
 science",,
summer,u penn experimental physics research academy,"math_
 science",tech_engineering,
summer,u penn social justice research academy,humanities,"social 
 science",
summer,u penn art in the city academy,humanities,,
summer,"u penn startalk urdo, hindi, and chinese academy",humanities,,
summer,u penn law summer academy,social science,,
summer,u penn summer boot up camp,math_science,tech_engineering,
summer,cornell u research apprenticeship in biological sciences (rabs),math_science,tech_engineering,
summer,harvard debate council summer programs,social science,social science,humanities
summer,ssep (summer science & engineering program) at smith college,math_science,tech_engineering,
summer,yale young global scholars,social science,social science,
summer,yale english for high school students,humanities,,
summer,summer journalism program princeton university,social science,communication,
summer,stanford summer humanities institute,humanities,,
summer,northwestern u medill cherub journalism program,communication,social science,humanities
summer,(amsp) awesomemath summer program,math_science,,
summer,canada_usa math camp,math_science,,
summer,id tech summer computer camp programs,tech_engineering,,
summer,uc san diego academic connections research scholars,math_science,,
summer,jsa junior statesmen of america summer school,"social 
 science",humanities,
summer,vampy summer program for verbally and pathematically precocious youths,humanities,tech_engineering,"social 
 science"
summer,startalk chinese at brigham young u,humanities,,
summer,startalk arabic brigham young u,humanities,,
summer,startalk chineseu of mississippi,humanities,,
summer,concordia summer villages,humanities,,
summer,the great books summer program,humanities,,
summer,issyp (international summer school for young physicists),math_science,,
