award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
All-American High School Film Festival,,No Extra Match,Y,Extremely Selective,5,Communication,visualart,,
Annual Architectural Design Competition for High School Students,Architectural Foundation of San Francisco High School Design Competition,No Extra Match,Y,Very Selective,4,visualart,,,
Atlantic and College Board Writing Prize,,No Extra Match,Y,Very Selective,4,humanities,,,
Ayn Rand Institute Contest,,No Extra Match,Y,Very Selective,4,humanities,,,
Bennington Young Writers Award,,No Extra Match,Y,Very Selective,4,humanities,,,
Blue Ocean Entrepreneurship Competition,,No Extra Match,Y,Very Selective,4,business,,,
Caribou Mathematics Competition,,No Extra Match,Y,Selective,3,math_sci,,,
Carnegie International Student Essay Contest,Carnegie Council,No Extra Match,Y,Extremely Selective,5,social_sci,humanities,,
CET and NSHSS Scholarship for Gap Programs,,No Extra Match,Y,Selective,3,social_sci,,,
Chapman Art and Writing Holocaust Contest,Annual Holocaust Art and Writing Contest,"art, film",Y,Very Selective,4,visualart,,,
Chapman Art and Writing Holocaust Contest,Annual Holocaust Art and Writing Contest,"poetry, prose",Y,Very Selective,4,humanities,,,
CleanTech Competition,CSTL,No Extra Match,Y,Very Selective,4,tech_eng,,,
Connect What You're Studying in School With the World Today,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,social_sci,Communication,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Aerospace, aviation, Cyber-Technology, Security",Y,Extremely Selective,5,tech_eng,,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Energy, environment",Y,Extremely Selective,5,tech_eng,math_sci,social_sci,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Health, nutrition, ",Y,Extremely Selective,5,math_sci,,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,No Extra Match,Y,Extremely Selective,5,tech_eng,math_sci,,
Creative Minds Writing Contest,"Imagine Magazine, Johns Hopkins, JHU",No Extra Match,Y,Very Selective,4,humanities,,,
C-Span's Student Cam,C-Span,No Extra Match,Y,Very Selective,4,social_sci,Communication,visualart,
Democracy Youth Film Challenge,Civic Life Project,No Extra Match,Y,Selective,3,Communication,social_sci,visualart,
Destination Imagination,,No Extra Match,Y,Very Selective,4,social_sci,Engineering,,
Diamond Challenge,,No Extra Match,Y,Very Selective,4,business,tech_eng,math_sci,
Doodle 4 Google,,No Extra Match,Y,Extremely Selective,5,visualart,,,
Dream Quest One,,No Extra Match,Y,Very Selective,4,humanities,,,
eCYBERMISSION,,No Extra Match,Y,Selective,3,tech_eng,math_sci,,
Editorial Cartoon Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,visualart,Communication,,
Editorial Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Communication,humanities,social_sci,
EngineerGirl Writing Contest,,No Extra Match,Y,Selective,3,tech_eng,humanities,,
ExploraVision,"Toshiba, NSTA",No Extra Match,Y,Very Selective,4,tech_eng,math_sci,,
First Freedom Student Competition ,,No Extra Match,Y,Very Selective,4,social_sci,humanities,,
FIRST Robotics,FRC,No Extra Match,Y,Extremely Selective,5,tech_eng,,,
FIRST Tech Challenge,FTC,No Extra Match,Y,Very Selective,4,tech_eng,,,
Founders' First Freedom High School and College Writing Contest,First Freedom,No Extra Match,Y,Very Selective,4,social_sci,humanities,,
Foyle Young Poet's Award,,No Extra Match,Y,Very Selective,4,humanities,,,
Genius Olympiad,,"Art, Short Film",Y,Very Selective,4,visualart,,,
Genius Olympiad,,business,Y,Very Selective,4,business,,,
Genius Olympiad,,Music,Y,Very Selective,4,Music,,,
Genius Olympiad,,No Extra Match,Y,Very Selective,4,math_sci,,,
Genius Olympiad,,Robotics,Y,Very Selective,4,tech_eng,,,
Genius Olympiad,,Science,Y,Very Selective,4,math_sci,,,
Genius Olympiad,,Writing,Y,Very Selective,4,social_sci,,,
Gloria Barron Prize for Young Heroes,,No Extra Match,Y,Very Selective,4,social_sci,business,,
Google Science Fair,,No Extra Match,Y,Extremely Selective,5,tech_eng,math_sci,,
Gould Prize for Essays in English Literature,"Gould Prize, Trinity College",No Extra Match,Y,Extremely Selective,5,humanities,,,
Harvard GlobalWe Essay Contest,,No Extra Match,Y,Very Selective,4,social_sci,,,
Harvard Pre-Collegiate Economics Challenge,HPEC,No Extra Match,Y,Extremely Selective,5,social_sci,,,
HUEA HCER International Essay Competition,,No Extra Match,Y,Very Selective,4,social_sci,,,
Hypernova Lit,,Art,Y,Mediocre,2,visualart,,,
Hypernova Lit,,No Extra Match,Y,Mediocre,2,humanities,visualart,,
Hypernova Lit,,Writing,Y,Mediocre,2,humanities,,,
Imagine Cup,,No Extra Match,Y,Extremely Selective,5,tech_eng,,,
Imagine the Future Youth Video Challenge,,No Extra Match,Y,Very Selective,4,Communication,visualart,,
INEPO,International Environmental Project Olympiad,No Extra Match,Y,Very Selective,4,tech_eng,math_sci,,
Inkitt Wiring Contests,,No Extra Match,Y,Very Selective,4,humanities,,,
International Economics Olympiad,IEO,No Extra Match,Y,Very Selective,4,social_sci,business,,
International Geography Olympiad,iGEO,No Extra Match,Y,Selective,3,social_sci,,,
International Journal of Arts and Science,IJAS,business and Economics,Y,Very Selective,4,business,social_sci,,
International Journal of Arts and Science,IJAS,No Extra Match,Y,Very Selective,4,humanities,social_sci,,
International Journal of Arts and Science,IJAS,social_sci and humanities,Y,Very Selective,4,social_sci,humanities,,
International Journal of Arts and Science,IJAS,Teaching and Education,Y,Very Selective,4,social_sci,,,
International Journal of Arts and Science,IJAS,Technology and Science,Y,Very Selective,4,tech_eng,math_sci,,
International Journal of humanities and social_sci (IJHSS),,No Extra Match,Y,Very Selective,4,humanities,social_sci,,
International Linguistics Olympiad,,No Extra Match,Y,Selective,3,humanities,math_sci,,
International Philosophy Olympiad,,No Extra Match,Y,Extremely Selective,5,humanities,,,
International Torrance Legacy Creativity Awards,,Creative Writing,Y,Very Selective,4,humanities,,,
International Torrance Legacy Creativity Awards,,Inventions,Y,Very Selective,4,tech_eng,,,
International Torrance Legacy Creativity Awards,,Music Composition,Y,Very Selective,4,Music,,,
International Torrance Legacy Creativity Awards,,No Extra Match,Y,Very Selective,4,visualart,humanities,,
International Torrance Legacy Creativity Awards,,visualart,Y,Very Selective,4,visualart,,,
ISSCY,International social_sci Conference for Youth,No Extra Match,Y,Very Selective,4,social_sci,humanities,,
JA COY,Company of the Year,No Extra Match,Y,Very Selective,4,business,,,
JA ITC,International Trade Challenge,No Extra Match,Y,Extremely Selective,5,business,,,
JA Samsung E-startup Playground,,No Extra Match,Y,Selective,3,business,,,
Jet Fuel Review,,No Extra Match,Y,Selective,3,humanities,,,
JFK Profile In Courage,,No Extra Match,Y,Very Selective,4,social_sci,humanities,,
John Locke Institute Essay Competition,,No Extra Match,Y,Very Selective,4,humanities,social_sci,,
John Locke Institute Essay Competition,,"Philosophy, History, Theology",Y,Very Selective,4,humanities,,,
John Locke Institute Essay Competition,,"Politics, Economics, Psychology, Law",Y,Very Selective,4,social_sci,,,
Journal of social_sci Education (JSSE),,No Extra Match,Y,Very Selective,4,social_sci,,,
Journal of the American Philosophical Association,,No Extra Match,Y,Very Selective,4,humanities,,,
JSHS,Junior Science & humanities Symposia,"Engineering, Technology, Mathematics, computer science",Y,Very Selective,4,tech_eng,,,
JSHS,Junior Science & humanities Symposia,"Environmental Science, Biomedical Sciences, Life Science, Medicine & Health, Behavioral Science, physical science, chemistry",Y,Very Selective,4,math_sci,,,
JSHS,Junior Science & humanities Symposia,No Extra Match,Y,Very Selective,4,tech_eng,math_sci,,
Korea business Competition,"KBC, Korea Case Study Competition, KCSC",No Extra Match,Y,Very Selective,4,business,,,
Leonard L. Milberg Poetry Prize,"Princeton University, Lewis Center for Arts",No Extra Match,Y,Very Selective,4,humanities,,,
Letters About Literature,,No Extra Match,Y,Selective,3,humanities,,,
LifeSmarts,,No Extra Match,Y,Very Selective,4,social_sci,business,,
Marshall Society Essay Competition,,No Extra Match,Y,Very Selective,4,social_sci,,,
Mathcounts Competition,,No Extra Match,Y,Selective,3,math_sci,,,
MIT INSPIRE,,"Art and architecture, linguistics, literature, history, philosophy, anthropology",Y,Very Selective,4,humanities,,,
MIT INSPIRE,,"Comparative media studies, science technology and society",Y,Very Selective,4,Communication,social_sci,,
MIT INSPIRE,,"Cultural studies, economics, political science, Women's and Gender studies",Y,Very Selective,4,social_sci,,,
MIT INSPIRE,,Music Research,Y,Very Selective,4,Music,,,
MIT INSPIRE,,No Extra Match,Y,Very Selective,4,humanities,social_sci,,
NACLO,North American Computational Linguistics Olympiad,No Extra Match,Y,Selective,3,humanities,math_sci,,
Nancy Thorp Poetry Contest,,No Extra Match,Y,Very Selective,4,humanities,,,
National Council of Teachers of English Achievement Awards,,No Extra Match,Y,Selective,3,humanities,,,
National Economics Challenge,NEC by Council for Economic Education,No Extra Match,Y,Very Selective,4,social_sci,,,
National Geographic Student Photo Competition,,No Extra Match,Y,Very Selective,4,visualart,,,
National High School Essay Contest - ASFA,,No Extra Match,Y,Very Selective,4,social_sci,,,
National Peace Essay Contest,,No Extra Match,Y,Very Selective,4,social_sci,humanities,,
National Poetry Competition,,No Extra Match,Y,Very Selective,4,humanities,,,
National STEM Video Game Challenge,,No Extra Match,Y,Selective,3,tech_eng,math_sci,,
National YoungArts Foundation,,"Dance, Theater",Y,Selective,3,performing_arts,,,
National YoungArts Foundation,,"Film, visualart, Photography, Photo, Design",Y,Selective,3,visualart,Communication,,
National YoungArts Foundation,,"Jazz, Classical Music, Composition, Voice",Y,Selective,3,Music,,,
National YoungArts Foundation,,No Extra Match,Y,Selective,3,visualart,humanities,,
National YoungArts Foundation,,"Writing, novel, poetry, spoken word, Play, script, non-fiction, creative",Y,Selective,3,humanities,,,
NFFTY ,,No Extra Match,Y,Very Selective,4,Communication,visualart,,
NFMC Lynn Freeman Olson Competition,,No Extra Match,Y,Selective,3,Music,,,
NHD,National History Day ,No Extra Match,Y,Very Selective,4,humanities,,,
NSHSS Activism and Advocacy Scholarship,,No Extra Match,Y,Selective,3,social_sci,,,
NSHSS Creative Writing Scholarship,,No Extra Match,Y,Selective,3,humanities,,,
NSHSS Diversity Scholarship,,No Extra Match,Y,Selective,3,social_sci,,,
NSHSS Film and Video Scholarship,,No Extra Match,Y,Selective,3,Communication,visualart,,
NSHSS Foundation business & Public Policy Scholarship,,No Extra Match,Y,Selective,3,business,social_sci,,
NSHSS Key Chapter Awards,,No Extra Match,Y,Selective,3,social_sci,,,
NSHSS Success with Sustainability Scholarship,,No Extra Match,Y,Selective,3,social_sci,,,
NSHSS visualart Competition,,No Extra Match,Y,Selective,3,visualart,,,
Ocean Awareness Student Contest,,Music,Y,Selective,3,Music,,,
Ocean Awareness Student Contest,,No Extra Match,Y,Selective,3,visualart,,,
Ocean Awareness Student Contest,,"Poetry, Prose",Y,Selective,3,humanities,,,
Ocean Awareness Student Contest,,"Visual Art, Film",Y,Selective,3,visualart,,,
Palgrave Communications,,No Extra Match,Y,Very Selective,4,humanities,social_sci,,
Paradigm Challenge,,No Extra Match,Y,Very Selective,4,business,tech_eng,,
Patricia Grodd Poetry Contest,Kenyon Review,No Extra Match,Y,Extremely Selective,5,humanities,,,
Personal Narrative Writing Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,humanities,Communication,,
