award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
All-American High School Film Festival,,No Extra Match,Y,Extremely Selective,5,Communication,Visual Arts,,
Annual Architectural Design Competition for High School Students,Architectural Foundation of San Francisco High School Design Competition,No Extra Match,Y,Very Selective,4,Visual Arts,,,
Atlantic and College Board Writing Prize,,No Extra Match,Y,Very Selective,4,Humanities,,,
Ayn Rand Institute Contest,,No Extra Match,Y,Very Selective,4,Humanities,,,
Bennington Young Writers Award,,No Extra Match,Y,Very Selective,4,Humanities,,,
Blue Ocean Entrepreneurship Competition,,No Extra Match,Y,Very Selective,4,Business,,,
Caribou Mathematics Competition,,No Extra Match,Y,Selective,3,Math/Science,,,
Carnegie International Student Essay Contest,Carnegie Council,No Extra Match,Y,Extremely Selective,5,Social Science,Humanities,,
CET and NSHSS Scholarship for Gap Programs,,No Extra Match,Y,Selective,3,Social Science,,,
Chapman Art and Writing Holocaust Contest,Annual Holocaust Art and Writing Contest,"art, film",Y,Very Selective,4,Visual Arts,,,
Chapman Art and Writing Holocaust Contest,Annual Holocaust Art and Writing Contest,"poetry, prose",Y,Very Selective,4,Humanities,,,
CleanTech Competition,CSTL,No Extra Match,Y,Very Selective,4,Tech/Engineering,,,
Connect What You're Studying in School With the World Today,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Social Science,Communication,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Aerospace, aviation, Cyber-Technology, Security",Y,Extremely Selective,5,Tech/Engineering,,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Energy, environment",Y,Extremely Selective,5,Tech/Engineering,Math/Science,Social Science,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Health, nutrition, ",Y,Extremely Selective,5,Math/Science,,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,Math/Science,,
Creative Minds Writing Contest,"Imagine Magazine, Johns Hopkins, JHU",No Extra Match,Y,Very Selective,4,Humanities,,,
C-Span's Student Cam,C-Span,No Extra Match,Y,Very Selective,4,Social Science,Communication,Visual Arts,
Democracy Youth Film Challenge,Civic Life Project,No Extra Match,Y,Selective,3,Communication,Social Science,Visual Arts,
Destination Imagination,,No Extra Match,Y,Very Selective,4,Social Science,Engineering,,
Diamond Challenge,,No Extra Match,Y,Very Selective,4,Business,Tech/Engineering,Math/Science,
Doodle 4 Google,,No Extra Match,Y,Extremely Selective,5,Visual Arts,,,
Dream Quest One,,No Extra Match,Y,Very Selective,4,Humanities,,,
eCYBERMISSION,,No Extra Match,Y,Selective,3,Tech/Engineering,Math/Science,,
Editorial Cartoon Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Visual Arts,Communication,,
Editorial Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Communication,Humanities,Social Science,
EngineerGirl Writing Contest,,No Extra Match,Y,Selective,3,Tech/Engineering,Humanities,,
ExploraVision,"Toshiba, NSTA",No Extra Match,Y,Very Selective,4,Tech/Engineering,Math/Science,,
First Freedom Student Competition ,,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
FIRST Robotics,FRC,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,,,
FIRST Tech Challenge,FTC,No Extra Match,Y,Very Selective,4,Tech/Engineering,,,
Founders' First Freedom High School and College Writing Contest,First Freedom,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
Foyle Young Poet's Award,,No Extra Match,Y,Very Selective,4,Humanities,,,
Genius Olympiad,,"Art, Short Film",Y,Very Selective,4,Visual Arts,,,
Genius Olympiad,,Business,Y,Very Selective,4,Business,,,
Genius Olympiad,,Music,Y,Very Selective,4,Music,,,
Genius Olympiad,,No Extra Match,Y,Very Selective,4,Math/Science,,,
Genius Olympiad,,Robotics,Y,Very Selective,4,Tech/Engineering,,,
Genius Olympiad,,Science,Y,Very Selective,4,Math/Science,,,
Genius Olympiad,,Writing,Y,Very Selective,4,Social Science,,,
Gloria Barron Prize for Young Heroes,,No Extra Match,Y,Very Selective,4,Social Science,Business,,
Google Science Fair,,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,Math/Science,,
Gould Prize for Essays in English Literature,"Gould Prize, Trinity College",No Extra Match,Y,Extremely Selective,5,Humanities,,,
Harvard GlobalWe Essay Contest,,No Extra Match,Y,Very Selective,4,Social Science,,,
Harvard Pre-Collegiate Economics Challenge,HPEC,No Extra Match,Y,Extremely Selective,5,Social Science,,,
HUEA HCER International Essay Competition,,No Extra Match,Y,Very Selective,4,Social Science,,,
Hypernova Lit,,Art,Y,Mediocre,2,Visual Arts,,,
Hypernova Lit,,No Extra Match,Y,Mediocre,2,Humanities,Visual Arts,,
Hypernova Lit,,Writing,Y,Mediocre,2,Humanities,,,
Imagine Cup,,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,,,
Imagine the Future Youth Video Challenge,,No Extra Match,Y,Very Selective,4,Communication,Visual Arts,,
INEPO,International Environmental Project Olympiad,No Extra Match,Y,Very Selective,4,Tech/Engineering,Math/Science,,
Inkitt Wiring Contests,,No Extra Match,Y,Very Selective,4,Humanities,,,
International Economics Olympiad,IEO,No Extra Match,Y,Very Selective,4,Social Science,Business,,
International Geography Olympiad,iGEO,No Extra Match,Y,Selective,3,Social Science,,,
International Journal of Arts and Science,IJAS,Business and Economics,Y,Very Selective,4,Business,Social Science,,
International Journal of Arts and Science,IJAS,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
International Journal of Arts and Science,IJAS,Social Science and Humanities,Y,Very Selective,4,Social Science,Humanities,,
International Journal of Arts and Science,IJAS,Teaching and Education,Y,Very Selective,4,Social Science,,,
International Journal of Arts and Science,IJAS,Technology and Science,Y,Very Selective,4,Tech/Engineering,Math/Science,,
International Journal of Humanities and Social Science (IJHSS),,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
International Linguistics Olympiad,,No Extra Match,Y,Selective,3,Humanities,Math/Science,,
International Philosophy Olympiad,,No Extra Match,Y,Extremely Selective,5,Humanities,,,
International Torrance Legacy Creativity Awards,,Creative Writing,Y,Very Selective,4,Humanities,,,
International Torrance Legacy Creativity Awards,,Inventions,Y,Very Selective,4,Tech/Engineering,,,
International Torrance Legacy Creativity Awards,,Music Composition,Y,Very Selective,4,Music,,,
International Torrance Legacy Creativity Awards,,No Extra Match,Y,Very Selective,4,Visual Arts,Humanities,,
International Torrance Legacy Creativity Awards,,Visual Arts,Y,Very Selective,4,Visual Arts,,,
ISSCY,International Social Science Conference for Youth,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
JA COY,Company of the Year,No Extra Match,Y,Very Selective,4,Business,,,
JA ITC,International Trade Challenge,No Extra Match,Y,Extremely Selective,5,Business,,,
JA Samsung E-startup Playground,,No Extra Match,Y,Selective,3,Business,,,
Jet Fuel Review,,No Extra Match,Y,Selective,3,Humanities,,,
JFK Profile In Courage,,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
John Locke Institute Essay Competition,,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
John Locke Institute Essay Competition,,"Philosophy, History, Theology",Y,Very Selective,4,Humanities,,,
John Locke Institute Essay Competition,,"Politics, Economics, Psychology, Law",Y,Very Selective,4,Social Science,,,
Journal of Social Science Education (JSSE),,No Extra Match,Y,Very Selective,4,Social Science,,,
Journal of the American Philosophical Association,,No Extra Match,Y,Very Selective,4,Humanities,,,
JSHS,Junior Science & Humanities Symposia,"Engineering, Technology, Mathematics, computer science",Y,Very Selective,4,Tech/Engineering,,,
JSHS,Junior Science & Humanities Symposia,"Environmental Science, Biomedical Sciences, Life Science, Medicine & Health, Behavioral Science, physical science, chemistry",Y,Very Selective,4,Math/Science,,,
JSHS,Junior Science & Humanities Symposia,No Extra Match,Y,Very Selective,4,Tech/Engineering,Math/Science,,
Korea Business Competition,"KBC, Korea Case Study Competition, KCSC",No Extra Match,Y,Very Selective,4,Business,,,
Leonard L. Milberg Poetry Prize,"Princeton University, Lewis Center for Arts",No Extra Match,Y,Very Selective,4,Humanities,,,
Letters About Literature,,No Extra Match,Y,Selective,3,Humanities,,,
LifeSmarts,,No Extra Match,Y,Very Selective,4,Social Science,Business,,
Marshall Society Essay Competition,,No Extra Match,Y,Very Selective,4,Social Science,,,
Mathcounts Competition,,No Extra Match,Y,Selective,3,Math/Science,,,
MIT INSPIRE,,"Art and architecture, linguistics, literature, history, philosophy, anthropology",Y,Very Selective,4,Humanities,,,
MIT INSPIRE,,"Comparative media studies, science technology and society",Y,Very Selective,4,Communication,Social Science,,
MIT INSPIRE,,"Cultural studies, economics, political science, Women's and Gender studies",Y,Very Selective,4,Social Science,,,
MIT INSPIRE,,Music Research,Y,Very Selective,4,Music,,,
MIT INSPIRE,,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
NACLO,North American Computational Linguistics Olympiad,No Extra Match,Y,Selective,3,Humanities,Math/Science,,
