label,text
0,John was sad to see his girlfriend leave.
0,The house was creepy.
0,I heard footsteps creeping behind me and it made the whole situation scarier.
0,She was my best friend. I could tell her almost anything.
0,She hated it there because it smelled bad.
0,When they embraced she could tell he had been smoking and was scared.
0,The temperature fell and the ice reflected the sun.
0,Suzie was blind.
0,It was late fall.
0,She was a plumber and asked where the bathroom was.
0,I had a great conversation with Tim over dinner and loved hearing his stories.
0,I was nervous.
0,She was so angry that she threw a rock into the house and broke the glass.
0,"My sister is talented in sports, music, and languages."
0,"I like many different sports, but I would have to say that ping-pong is my favorite sport."
0,Joey missed his father.
0,Alvin hated his grandfather.
0,Old Mr Chan was hot and tired.
0,Joey was afraid. There was a storm. The
0,lights went out.
0,AlvinÅfs mother was angry. She hit Alvin. It
0,was very painful.
0,Bill was frightened. He thought someone
0,was behind him.
0,The little girl looked in the window.
0,My mother and I walked and looked at the glass window of the chapel.
0,The sorority sisters decorated the halls.
0,I climbed the fence.
0,Dominique gives candy to her customers.
0,The table was decorated for Christmas.
0,The lights sent signals from village to village.
0,She felt embarrassed when she fell.
0,I get nervous when I give a speech.
0,Two people are playing hockey.
0,My mornings are crazy. I am rushing all the time.
0,Sometimes I miss my bus and arrive late to school.
0,Michael was terribly afraid of the dark.
0,I walked through the forest. It was already Fall and I was getting cold.
0,I really miss my garden. It was romantic and peaceful. CommanderÅfs Wife also felt content as well.
0,"Georgie was running to catch the boat but the water was flowing too fast, and he couldnÅft keep up. His boat was about to be sucked in and destroyed by the turbulent water."
0,"I woke up and wanted to be active today. Then, I heard Amy cooking downstairs in the kitchen, making lots of noise with the kitchenware."
0,She was so lonely and isolated. She desperately wished to connect with another person somehow.
0,The father went to the hoghouse to kill the smallest pig which was born last night. But Fern didnÅft want his father to kill it.
0,Oliver reached London. It was dirty and crowded. There were many children running around on the streets while misbehaving and Oliver felt like leaving.
0,"Imagine someone burning the book page by page, because it can give us incorrect knowledge._"
0,Archie was complaining about work. But Clara worked very diligently even though the work was tough and weather was hot.
0,She was tired.
0,She is hungry.
0,The night was cold and moonlit. The sleigh moved fast through the forest.
0,"The parties were dazzling and opulent. They spilled out of the house, into the_ garden and even the beach."
0,"Bowen, Katie and FIona find a sheet of vellum in an old Welsh church."
0,He knew something was wrong because he could see the fear in her eyes and that she was trembling.
0,"Roger was never very bright when it came to figuring things out, and he could never seem to do even simple things right."
0,"There was glass all over the floor, and a pool of blood behind the bar."
0,"The pancake tasted bitter, and he couldnÅft stand it."
0,It was an unusual cat.
0,The pizza was delicious.
0,Jack was afraid.
0,Dave thought Brenda was acting secretive.
0,"Mary was a pretty girl, with blue eyes and blond hair."
0,Molly is a wonderful person.
0,It was very dark inside.
0,The pizza was delicious.
0,The house was haunted.
0,Eating healthy is good for your body.
0,I was really mad.
0,Jim was so angry that Blair was afraid.
0,The weather was bad.
0,"Aaron was a cheerful young doctor, and he loved his car dearly. It was a beautiful and very expensive vehicle, and he liked to feel its horsepower below him when he ignited the engine."
0,Cynthia was angry at her younger brother.
0,I watched the ocean waves.
0,The author described Jim as dull and boring.
0,I love pizza.
0,Tom didnÅft want to go to school today.
0,Mike didnÅft want to go find the lost puppy.
0,Reading was JayÅfs favorite class.
0,I walked into Mr. Gibson's classroom five minutes late.
0,The temperature had fallen overnight and the heavy frost reflected the sun's rays brightly.
0,"The taller man was a carpenter, complete with the tools of his trade."
0,"They stood close and wrapped their arms round each other in a passionate embrace, so that she became aware that he had been riding, and then that he was as nervous as she was."
0,"James was tall and attractive to women, being so charming to them that they fell for him immediately and never guessed how little he cared for them."
0,"Orias ran away from the soldiers. His horse jumped a fallen tree branch. He heard someone shout for him to stop, and he felt nervous. The soldiers halted and aimed their rifles at him."
0,"Just another few metres, Mary thought. She knew that she still needed to climb another few metres before she would reach the top of the sheer cliff face and safety. She kept climbing, moving slowly and steadily from one foothold to the next, though her arms ached and she felt exhausted."
0,It was autumn.
0,"Tiffany felt afraid. He pounded on the door, demanding to be let in."
0,The crowd looked angry. He wouldnÅft be surprised if they revolted. The guards did what they could to keep the peace.
0,Luke drew his sword. He knew this would be the fight of his life.
0,"ÅgYou have nothing to worry about,Åh Susie said. It was clear she was lying."
0,Elroy drove the boat for fifteen minutes until we reached Canadian waters. He cut the engine and began fishing.
0,"ÅgI donÅft know,Åh Sally said anxiously."
0,"ÅgI donÅft know,Åh Sally said anxiously."
0,The house was run-down and dirty.
0,"Malcolm came back home and saw his brother James, who came back from college. Malcolm was lonely when alone but didnÅft mind James being away from home."
0,"Because of the war, all the foreign Jews got kicked out of Sighet. We were sad and had to leave in a train, packed with others."
0,"October was cold and many people in the castle got cold. Madam Pomfrey, the nurse, was busy making very strong medicine for them. She made them drink it and no one liked it."
0,"London in the 1860s was a cold, damp, foggy city crisscrossed with cobblestone streets and pedestrians carefully dodging the droppings of steeds that pulled all manner of public conveyance. One such pedestrian was Lucy Knight, a beautiful, young, unattached woman in a hurry to get to Piccadilly Circus. An eligible bachelor had asked her to meet him thereÅc"
0,We walked down the stairs and Julain went to the old and empty library. The creditors and usurers had taken everything they can.
0,It was really dark and I couldnÅft see the stairs clearly.
0,It was really humid and hot. I was going to Calle Canuda to meet Barcel_ while carrying some books. I went up the stairs and into the reading rooms filled with sleepy readers under a fan.
0,"I saw clouds and lightning from the sea. I was nervous because of the upcoming storm. I avoided the rain under a canopy and didnÅft see anyone on the streets, filled with bad smell of the sewers and darkness."
0,"In the spring of 1946, he came back from the war. At a Florentine coffee house, he was served by a waitress named Ophelia Diagilo who was attractive, wearing a yellow dress."
0,"Looking at the family pictures I could tell that Carl was a good man and a husband, who was diligent and even elected as mayor of the town."
0,The town was filled with red brick factories and the river was polluted. The windows of the factories shook due to the machines.
0,The burning fire spread to every part of the tree.
0,The sun was setting. Salina River and Gabilan Mountains were peaceful.
0,"The public-houses were filled with busy merchants selling meat, milk, and fish."
0,Iona loved the cold weather of Ireland. She slept in a castle that night.
0,"When she opened the fancy heavy door, she found a beautiful village. She couldnÅft wait to get to it."
0,The place was abandoned and dirty. He found a crow there too.
0,"And he thought about how lovely Emily was, serving him all the good desert and drinks while wearing a summer dress."
0,The weather was perfect for a garden-party. It was sunny. The grass and flowers in the garden seemed beautiful.
1,John wiped tears down his face as he watched his girlfriend board the plane.
1,"Only a single dim candle lit the room. The house smelled like dust and rotting wood, and something faintly metallic that made John think of blood. Stuffed animals were mounted around the room: a wild-eyed buck, a grizzly frozen in fury, a screech owl with sharp yellow talons."
1,"Crunching hit my ears from behind, accelerating the already rampant pounding of my heart."
1,"I met her at the town square, running in for our usual hug that carried on for far too long as we gushed about our lives with smiles lighting our faces."
1,"The faint scent of stale cigarette smoke met her nostrils, pulling her face into a familiar grimace."
1,"When she wrapped her arms around him, the sweet staleness of tobacco enveloped her, and he was shivering."
1,"BillÅfs nose burned in the frigid air, and he squinted against the sun reflecting off the street."
1,Suzie felt for the bench with a white cane.
1,Leaves crunched beneath his feet.
1,"She wore coveralls carried a plunger and metal toolbox, and wrenches of various sizes hung from a leather belt around her waist. ÅgPoint me to the head,Åh she said."
1,"I barely touched my food, riveted by Tim. ÅgLet me tell you another story,Åh he said."
1,My palms were sweaty. I popped my knuckles. I looked in my backpack three times for no reason.
1,"My leg kept shaking, and I turned my head to look at the clock every few seconds."
1,"She kicked open the screen door, letting it slam against the wall as she dashed outside. Down the steps and into the yard she flew. Grabbing the first rock in her path, she hurled it back toward the house. It crashed through the living room window with an explosion of shattered glass."
